PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,ESO,1ESO,"33,33","66,67"
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,ESO,2ESO,10,90
Castelló,L´Alcalatén,ALCORA (L'),12000157,CENTRE PRIVAT PUÉRTOLAS PARDO,ESO,3ESO,25,75
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,ESO,1ESO,"62,5","37,5"
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,ESO,2ESO,75,25
Castelló,L´Alcalatén,ALCORA (L'),12000169,CENTRE PRIVAT LA SALLE,ESO,3ESO,"71,43","28,57"
Castelló,La Plana Alta,ALMASSORA,12000251,IES ÁLVARO FALOMIR,ESO,1ESO,"78,72","21,28"
Castelló,La Plana Alta,ALMASSORA,12000251,IES ÁLVARO FALOMIR,ESO,2ESO,"79,59","20,41"
Castelló,La Plana Alta,ALMASSORA,12000251,IES ÁLVARO FALOMIR,ESO,3ESO,"87,5","12,5"
Castelló,La Plana Baixa,BETXÍ,12000406,IES DE BETXÍ,ESO,1ESO,"80,33","19,67"
Castelló,La Plana Baixa,BETXÍ,12000406,IES DE BETXÍ,ESO,2ESO,"93,02","6,98"
Castelló,La Plana Baixa,BETXÍ,12000406,IES DE BETXÍ,ESO,3ESO,"91,07","8,93"
Castelló,El Baix Maestrat,BENICARLÓ,12000467,CENTRE PRIVAT LA SALLE,ESO,1ESO,"73,13","26,87"
Castelló,El Baix Maestrat,BENICARLÓ,12000467,CENTRE PRIVAT LA SALLE,ESO,2ESO,"70,15","29,85"
Castelló,El Baix Maestrat,BENICARLÓ,12000467,CENTRE PRIVAT LA SALLE,ESO,3ESO,"51,79","48,21"
Castelló,El Baix Maestrat,BENICARLÓ,12000480,IES RAMÓN CID,ESO,1ESO,"82,61","17,39"
Castelló,El Baix Maestrat,BENICARLÓ,12000480,IES RAMÓN CID,ESO,2ESO,"89,55","10,45"
Castelló,El Baix Maestrat,BENICARLÓ,12000480,IES RAMÓN CID,ESO,3ESO,"87,01","12,99"
Castelló,La Plana Alta,BENICÀSSIM,12000522,CENTRE PRIVAT LICEO,ESO,1ESO,"23,08","76,92"
Castelló,La Plana Alta,BENICÀSSIM,12000522,CENTRE PRIVAT LICEO,ESO,2ESO,0,100
Castelló,La Plana Alta,BENICÀSSIM,12000522,CENTRE PRIVAT LICEO,ESO,3ESO,"12,5","87,5"
Castelló,La Plana Baixa,BORRIANA,12000662,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,1ESO,15,85
Castelló,La Plana Baixa,BORRIANA,12000662,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,2ESO,"14,71","85,29"
Castelló,La Plana Baixa,BORRIANA,12000662,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,3ESO,"19,23","80,77"
Castelló,La Plana Baixa,BORRIANA,12000686,CENTRE PRIVAT VILLA FÁTIMA,ESO,1ESO,"37,5","62,5"
Castelló,La Plana Baixa,BORRIANA,12000686,CENTRE PRIVAT VILLA FÁTIMA,ESO,2ESO,"14,29","85,71"
Castelló,La Plana Baixa,BORRIANA,12000686,CENTRE PRIVAT VILLA FÁTIMA,ESO,3ESO,"14,29","85,71"
Castelló,La Plana Baixa,BORRIANA,12000698,CENTRE PRIVAT SALESIANOS SAN JUAN BAUTISTA,ESO,1ESO,"20,93","79,07"
Castelló,La Plana Baixa,BORRIANA,12000698,CENTRE PRIVAT SALESIANOS SAN JUAN BAUTISTA,ESO,2ESO,"18,18","81,82"
Castelló,La Plana Baixa,BORRIANA,12000698,CENTRE PRIVAT SALESIANOS SAN JUAN BAUTISTA,ESO,3ESO,"15,79","84,21"
Castelló,La Plana Baixa,BORRIANA,12000704,IES JAUME I,ESO,1ESO,"91,38","8,62"
Castelló,La Plana Baixa,BORRIANA,12000704,IES JAUME I,ESO,2ESO,"81,4","18,6"
Castelló,La Plana Baixa,BORRIANA,12000704,IES JAUME I,ESO,3ESO,"83,67","16,33"
Castelló,La Plana Baixa,BORRIANA,12000716,CENTRE PRIVAT ILLES COLUMBRETES,ESO,1ESO,"90,48","9,52"
Castelló,La Plana Baixa,BORRIANA,12000716,CENTRE PRIVAT ILLES COLUMBRETES,ESO,2ESO,"89,47","10,53"
Castelló,La Plana Baixa,BORRIANA,12000716,CENTRE PRIVAT ILLES COLUMBRETES,ESO,3ESO,"77,78","22,22"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000947,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,1ESO,"7,69","92,31"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000947,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,2ESO,"2,74","97,26"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000947,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,3ESO,"9,09","90,91"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001009,CENTRE PRIVAT MADRE VEDRUNA SAGRADO CORAZÓN,ESO,1ESO,"5,8","94,2"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001009,CENTRE PRIVAT MADRE VEDRUNA SAGRADO CORAZÓN,ESO,2ESO,"1,67","98,33"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001009,CENTRE PRIVAT MADRE VEDRUNA SAGRADO CORAZÓN,ESO,3ESO,"3,85","96,15"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001022,CENTRE PRIVAT ESCUELAS PÍAS,ESO,1ESO,"15,15","84,85"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001022,CENTRE PRIVAT ESCUELAS PÍAS,ESO,2ESO,"20,83","79,17"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001022,CENTRE PRIVAT ESCUELAS PÍAS,ESO,3ESO,"14,29","85,71"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001204,CENTRE PRIVAT LOPE DE VEGA,ESO,1ESO,"42,42","57,58"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001204,CENTRE PRIVAT LOPE DE VEGA,ESO,2ESO,"53,33","46,67"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001204,CENTRE PRIVAT LOPE DE VEGA,ESO,3ESO,"47,5","52,5"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001228,IES FRANCESC RIBALTA,ESO,1ESO,"71,43","28,57"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001228,IES FRANCESC RIBALTA,ESO,2ESO,"78,48","21,52"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001228,IES FRANCESC RIBALTA,ESO,3ESO,"68,57","31,43"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001231,IES PENYAGOLOSA,ESO,1ESO,"87,3","12,7"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001231,IES PENYAGOLOSA,ESO,2ESO,"74,65","25,35"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001231,IES PENYAGOLOSA,ESO,3ESO,"80,6","19,4"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001307,IES POLITÈCNIC,ESO,1ESO,"71,43","28,57"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001307,IES POLITÈCNIC,ESO,2ESO,"74,14","25,86"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001307,IES POLITÈCNIC,ESO,3ESO,"77,05","22,95"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001381,CENTRE PÚBLIC INTEGRAT EXCELENTÍSIMA DIPUTACIÓN,ESO,1ESO,"85,71","14,29"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001381,CENTRE PÚBLIC INTEGRAT EXCELENTÍSIMA DIPUTACIÓN,ESO,2ESO,"89,29","10,71"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001381,CENTRE PÚBLIC INTEGRAT EXCELENTÍSIMA DIPUTACIÓN,ESO,3ESO,92,8
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001502,CEIP MAESTRO CARLOS SELMA,ESO,1ESO,0,100
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001502,CEIP MAESTRO CARLOS SELMA,ESO,2ESO,0,100
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001502,CEIP MAESTRO CARLOS SELMA,ESO,3ESO,0,100
Castelló,Els Ports,MORELLA,12001903,IES ELS PORTS,ESO,1ESO,"88,57","11,43"
Castelló,Els Ports,MORELLA,12001903,IES ELS PORTS,ESO,2ESO,80,20
Castelló,Els Ports,MORELLA,12001903,IES ELS PORTS,ESO,3ESO,"81,48","18,52"
Castelló,La Plana Baixa,NULES,12001952,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,1ESO,"46,15","53,85"
Castelló,La Plana Baixa,NULES,12001952,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,2ESO,"15,38","84,62"
Castelló,La Plana Baixa,NULES,12001952,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,3ESO,"8,33","91,67"
Castelló,La Plana Baixa,ONDA,12002051,CENTRE PRIVAT COLEGIO MADRE MARÍA ROSA MOLAS,ESO,1ESO,"23,81","76,19"
Castelló,La Plana Baixa,ONDA,12002051,CENTRE PRIVAT COLEGIO MADRE MARÍA ROSA MOLAS,ESO,2ESO,20,80
Castelló,La Plana Baixa,ONDA,12002051,CENTRE PRIVAT COLEGIO MADRE MARÍA ROSA MOLAS,ESO,3ESO,"9,09","90,91"
Castelló,La Plana Baixa,ONDA,12002063,CENTRE PRIVAT VIRGEN DEL CARMEN,ESO,1ESO,"58,06","41,94"
Castelló,La Plana Baixa,ONDA,12002063,CENTRE PRIVAT VIRGEN DEL CARMEN,ESO,2ESO,"88,89","11,11"
Castelló,La Plana Baixa,ONDA,12002063,CENTRE PRIVAT VIRGEN DEL CARMEN,ESO,3ESO,"66,67","33,33"
Castelló,El Alto Palancia,SEGORBE,12002270,IES NUESTRA SEÑORA DE LA CUEVA SANTA,ESO,1ESO,"34,65","65,35"
Castelló,El Alto Palancia,SEGORBE,12002270,IES NUESTRA SEÑORA DE LA CUEVA SANTA,ESO,2ESO,"32,97","67,03"
Castelló,El Alto Palancia,SEGORBE,12002270,IES NUESTRA SEÑORA DE LA CUEVA SANTA,ESO,3ESO,"29,49","70,51"
Castelló,El Alto Palancia,SEGORBE,12002282,CENTRO PRIVADO LA MILAGROSA,ESO,1ESO,10,90
Castelló,El Alto Palancia,SEGORBE,12002282,CENTRO PRIVADO LA MILAGROSA,ESO,2ESO,"6,25","93,75"
Castelló,El Alto Palancia,SEGORBE,12002282,CENTRO PRIVADO LA MILAGROSA,ESO,3ESO,0,100
Castelló,La Plana Baixa,VALL D'UIXÓ (LA),12002661,IES HONORI GARCIA,ESO,1ESO,"81,97","18,03"
Castelló,La Plana Baixa,VALL D'UIXÓ (LA),12002661,IES HONORI GARCIA,ESO,2ESO,"76,92","23,08"
Castelló,La Plana Baixa,VALL D'UIXÓ (LA),12002661,IES HONORI GARCIA,ESO,3ESO,"86,21","13,79"
Castelló,La Plana Baixa,VALL D'UIXÓ (LA),12002671,IES BOTÀNIC CAVANILLES,ESO,1ESO,85,15
Castelló,La Plana Baixa,VALL D'UIXÓ (LA),12002671,IES BOTÀNIC CAVANILLES,ESO,2ESO,"87,04","12,96"
Castelló,La Plana Baixa,VALL D'UIXÓ (LA),12002671,IES BOTÀNIC CAVANILLES,ESO,3ESO,"91,07","8,93"
Castelló,La Plana Baixa,VILA-REAL,12002889,IES FRANCESC TÀRREGA,ESO,1ESO,"85,71","14,29"
Castelló,La Plana Baixa,VILA-REAL,12002889,IES FRANCESC TÀRREGA,ESO,2ESO,80,20
Castelló,La Plana Baixa,VILA-REAL,12002889,IES FRANCESC TÀRREGA,ESO,3ESO,"89,41","10,59"
Castelló,La Plana Baixa,VILA-REAL,12002932,CENTRE PRIVAT VIRGEN DEL CARMEN,ESO,1ESO,"62,5","37,5"
Castelló,La Plana Baixa,VILA-REAL,12002932,CENTRE PRIVAT VIRGEN DEL CARMEN,ESO,2ESO,50,50
Castelló,La Plana Baixa,VILA-REAL,12002932,CENTRE PRIVAT VIRGEN DEL CARMEN,ESO,3ESO,"90,91","9,09"
Castelló,La Plana Baixa,VILA-REAL,12002956,CENTRE PRIVAT OBISPO PONT,ESO,1ESO,20,80
Castelló,La Plana Baixa,VILA-REAL,12002956,CENTRE PRIVAT OBISPO PONT,ESO,2ESO,25,75
Castelló,La Plana Baixa,VILA-REAL,12002956,CENTRE PRIVAT OBISPO PONT,ESO,3ESO,"66,67","33,33"
Castelló,La Plana Baixa,VILA-REAL,12002968,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,1ESO,50,50
Castelló,La Plana Baixa,VILA-REAL,12002968,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,2ESO,"18,92","81,08"
Castelló,La Plana Baixa,VILA-REAL,12002968,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,3ESO,"61,11","38,89"
Castelló,La Plana Baixa,VILA-REAL,12002993,CENTRE PRIVAT FUNDACIÓN FLORS,ESO,1ESO,"46,67","53,33"
Castelló,La Plana Baixa,VILA-REAL,12002993,CENTRE PRIVAT FUNDACIÓN FLORS,ESO,2ESO,"79,17","20,83"
Castelló,La Plana Baixa,VILA-REAL,12002993,CENTRE PRIVAT FUNDACIÓN FLORS,ESO,3ESO,"61,29","38,71"
Castelló,El Baix Maestrat,VINARÒS,12003080,IES LEOPOLDO QUEROL,ESO,1ESO,"92,65","7,35"
Castelló,El Baix Maestrat,VINARÒS,12003080,IES LEOPOLDO QUEROL,ESO,2ESO,"81,82","18,18"
Castelló,El Baix Maestrat,VINARÒS,12003080,IES LEOPOLDO QUEROL,ESO,3ESO,"86,54","13,46"
Castelló,El Baix Maestrat,VINARÒS,12003092,CENTRE PRIVAT DIVINA PROVIDENCIA,ESO,1ESO,"61,54","38,46"
Castelló,El Baix Maestrat,VINARÒS,12003092,CENTRE PRIVAT DIVINA PROVIDENCIA,ESO,2ESO,80,20
Castelló,El Baix Maestrat,VINARÒS,12003092,CENTRE PRIVAT DIVINA PROVIDENCIA,ESO,3ESO,"57,14","42,86"
Castelló,El Baix Maestrat,VINARÒS,12003110,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,1ESO,0,100
Castelló,El Baix Maestrat,VINARÒS,12003110,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,2ESO,"66,67","33,33"
Castelló,El Baix Maestrat,VINARÒS,12003110,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,3ESO,"28,57","71,43"
Castelló,La Plana Baixa,BORRIANA,12003328,IES LLOMBAI,ESO,1ESO,"70,18","29,82"
Castelló,La Plana Baixa,BORRIANA,12003328,IES LLOMBAI,ESO,2ESO,"83,12","16,88"
Castelló,La Plana Baixa,BORRIANA,12003328,IES LLOMBAI,ESO,3ESO,"69,23","30,77"
Castelló,El Baix Maestrat,BENICARLÓ,12003390,IES JOAN COROMINES,ESO,1ESO,"72,22","27,78"
Castelló,El Baix Maestrat,BENICARLÓ,12003390,IES JOAN COROMINES,ESO,2ESO,"83,33","16,67"
Castelló,El Baix Maestrat,BENICARLÓ,12003390,IES JOAN COROMINES,ESO,3ESO,"65,52","34,48"
Castelló,La Plana Baixa,VILA-REAL,12003444,IES MIRALCAMP,ESO,1ESO,"47,06","52,94"
Castelló,La Plana Baixa,VILA-REAL,12003444,IES MIRALCAMP,ESO,2ESO,"49,09","50,91"
Castelló,La Plana Baixa,VILA-REAL,12003444,IES MIRALCAMP,ESO,3ESO,"63,41","36,59"
Castelló,El Baix Maestrat,VINARÒS,12003468,IES JOSÉ VILAPLANA,ESO,1ESO,"80,85","19,15"
Castelló,El Baix Maestrat,VINARÒS,12003468,IES JOSÉ VILAPLANA,ESO,2ESO,78,22
Castelló,El Baix Maestrat,VINARÒS,12003468,IES JOSÉ VILAPLANA,ESO,3ESO,75,25
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12003523,IES VICENT SOS BAYNAT,ESO,1ESO,"75,68","24,32"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12003523,IES VICENT SOS BAYNAT,ESO,2ESO,"84,51","15,49"
